f_Hz   Yqq   Yqd   Ydq   Ydd
116.0   (0.06100367165043512-0.026973614435483014j)   (-0.003194690028990452-0.006138532307085951j)   (0.006788666832828254+0.004697279609937662j)   (0.059638655587959125-0.006289023627937108j)
120.0   (0.06026081741881164-0.027259347964143022j)   (-0.00285814109024812-0.00513157692308293j)   (0.0069579917112563006+0.005601763798706116j)   (0.06005327458357516-0.010062425466622681j)
125.0   (0.05407189825005085-0.032100689796040804j)   (-0.003752040489565174-0.0043114492620553j)   (0.004914376002083192+0.002619258101556517j)   (0.056573913200054726-0.013715071511960598j)
129.0   (0.05264188489166146-0.03374141371628431j)   (-0.0033377703630336534-0.004103407602125001j)   (0.005810287418517325+0.001992186698290824j)   (0.05508923013885391-0.016486958254209677j)
134.0   (0.049301842753890504-0.03503776962127736j)   (-0.0038885398582009503-0.00411843083427168j)   (0.005380885091706036+0.001650921434112696j)   (0.052418028770509245-0.019403033352502763j)
138.0   (0.04742218794859692-0.03560005210960955j)   (-0.003710217975051679-0.0036247081425932583j)   (0.005465723671938051+0.001165203553437244j)   (0.05039709020049244-0.020922591573399273j)
143.0   (0.04520845662822442-0.03623081404177875j)   (-0.003719101447007185-0.0032750523013619576j)   (0.005606900516853317+0.0003250988960584352j)   (0.04829408601584404-0.022796953659259118j)
148.0   (0.04209206142398665-0.036218470333817754j)   (-0.0036712340870301823-0.002982710210303557j)   (0.004422384499326413+0.0003401811414603548j)   (0.04601482144548728-0.02437012914125864j)
154.0   (0.03904437393768263-0.03676878974812852j)   (-0.004011731841470886-0.0029687478816688914j)   (0.003645102856025107+0.00030013443637917376j)   (0.04275349166932163-0.02523267703514135j)
159.0   (0.03708376322228176-0.03684808273681645j)   (-0.0038239920028852433-0.002283659175915378j)   (0.003550685235548085-0.0002896050648799224j)   (0.04140648076769611-0.026307766993280364j)
165.0   (0.03467269441385251-0.037379642606155825j)   (-0.003527172546897685-0.00192716448457988j)   (0.0029416394859856127-0.00041055822198789627j)   (0.03929417438270884-0.027424797280178465j)
170.0   (0.0326529745235157-0.03710298260828539j)   (-0.003640570856836842-0.0015382757026105047j)   (0.002603288586502044-0.00038365159494745414j)   (0.03761710136808373-0.02797599473301009j)
176.0   (0.030474533407415284-0.03725780773552195j)   (-0.0037357257976631236-0.0014361708302437967j)   (0.002037391388795231-8.377786575785649e-05j)   (0.03564552029542876-0.028425853993222082j)
