f_Hz   Yqq   Yqd   Ydq   Ydd
241.0   (0.0023864622535451096-0.0393665730390406j)   (0.008118496801904114+0.0008147351286347715j)   (-0.008157376246197029-0.0008434360547553139j)   (0.0023793473823585723-0.03935636535731767j)
250.0   (0.0023352516184519116-0.03780512339545273j)   (0.007554307370703702+0.000738908440725873j)   (-0.007475886126870143-0.000788481582029272j)   (0.0023235950789175243-0.03782174059692206j)
259.0   (0.002281980360574528-0.0364113752633088j)   (0.006987605736356741+0.0007544720978848886j)   (-0.007032789284971076-0.0007296301524950299j)   (0.0022870653527930222-0.036401223163007784j)
268.0   (0.002242946382785533-0.03508340695400807j)   (0.006519260428715735+0.0007216687153843137j)   (-0.0065065968483264324-0.0007016023697448685j)   (0.002247195519596208-0.03508786945988735j)
277.0   (0.0022069005733084436-0.03387012468602755j)   (0.006095722765685823+0.0006791866103681406j)   (-0.006074668736631695-0.0006646100116928348j)   (0.002209470224536021-0.03387232101090502j)
287.0   (0.0021747235822589606-0.03261688871985442j)   (0.005683637669140698+0.0005924174978151599j)   (-0.005668058728631572-0.0006403715498577271j)   (0.002163463753874031-0.0326182329415929j)
297.0   (0.002138363429104562-0.03145029249116283j)   (0.005292663944314378+0.0006007942957158146j)   (-0.005269838939361495-0.0005986041692286396j)   (0.0021374466168005346-0.03145351009908764j)
308.0   (0.0021070925160751306-0.03026227636823292j)   (0.004871175437903554+0.0005741520629155675j)   (-0.004893118492686507-0.0005737713232182316j)   (0.0021074976427396985-0.030259746785266085j)
318.0   (0.002081682170248143-0.029259692110218085j)   (0.004557266801136834+0.0005463650889504601j)   (-0.004576707097792431-0.0005513343550789944j)   (0.0020815137752221657-0.02925713470977307j)
330.0   (0.002054169771782808-0.028144143125593244j)   (0.004230173520501029+0.0005257016303185521j)   (-0.004246257216930373-0.0005273621443029275j)   (0.0020550489802954545-0.02814359410710327j)
341.0   (0.002028902217188689-0.027198812116671415j)   (0.003955639686071999+0.0005219651377085416j)   (-0.003976087860853341-0.0004923911801508579j)   (0.00203365951366839-0.027195005834045136j)
353.0   (0.002009126681087792-0.02623298449714199j)   (0.0036778838162083126+0.00048749140175914055j)   (-0.003691031408521995-0.00047801102083919634j)   (0.0020114523540063277-0.026229059279741042j)
366.0   (0.0019882986223805606-0.025258147190982218j)   (0.0034317331210251727+0.00044934928867288023j)   (-0.003423613391120763-0.00045530332817158805j)   (0.0019874964343043495-0.02526053272801204j)
379.0   (0.0019680327787415463-0.024362574121314436j)   (0.0031933694124259703+0.00043557548822713554j)   (-0.0031896703378686583-0.0004290716783261189j)   (0.0019686257908714156-0.02436159050621943j)
392.0   (0.0019500608084811507-0.02352132843261694j)   (0.0029853728311997818+0.0004261171932585659j)   (-0.002974394481372467-0.0004104709041226845j)   (0.001952446994404268-0.02352441359208332j)
406.0   (0.0019349407083268965-0.022684810588536563j)   (0.00276085102375279+0.00039246451368139254j)   (-0.0027692647518043727-0.00039816231165674953j)   (0.0019346442874893235-0.02268447488627652j)
420.0   (0.001919110498364386-0.021904059877631606j)   (0.002584861866617049+0.00038593709486995574j)   (-0.0025865114334939657-0.00038070990468668485j)   (0.001920066741515136-0.021905581663586016j)
435.0   (0.0019061145769062352-0.021128888708697828j)   (0.002408123548793592+0.0003673496067207526j)   (-0.0024029835142781197-0.00036507098361183613j)   (0.0019061362385116643-0.021128271752527916j)
451.0   (0.0018920237882686364-0.02036001885627637j)   (0.00222697668308669+0.00035227010095870555j)   (-0.0022433251055765675-0.00035121383960119056j)   (0.0018921420685866321-0.020357282952613926j)
466.0   (0.0018801959993936211-0.019682637481376938j)   (0.0020865796622794243+0.0003408172644291162j)   (-0.0020903586432424468-0.00033436670623658164j)   (0.0018812336613659632-0.019683087154441326j)
483.0   (0.001868114858160205-0.01897471837687965j)   (0.0019399446090294335+0.00032344061738872j)   (-0.0019400413905245053-0.000314794476989176j)   (0.0018685822268544785-0.0189729703504553j)
500.0   (0.001868891779678481-0.018309531961143443j)   (0.0018211864426737484+0.00029067033421296983j)   (-0.0017875940266400706-0.00039265024642202935j)   (0.0018636460464761342-0.018314174136508203j)
