f_Hz   Yqq   Yqd   Ydq   Ydd
260.0   (0.0001551717678197497+0.00010565174837273522j)   (-2.7736264953903384e-05-2.6436428806123102e-05j)   (2.193199026820444e-05+2.872910675607454e-05j)   (0.00015519170901023103+0.00013147210190687838j)
268.0   (0.00015929443949188143+0.00010268703090095698j)   (-2.747072810488e-05-2.4146163495458537e-05j)   (2.2022307417656022e-05+2.659505788077699e-05j)   (0.00015974166677565062+0.0001276934546157698j)
276.0   (0.00016307690822343866+9.96889182037792e-05j)   (-2.7110798101321382e-05-2.2069882033306004e-05j)   (2.2003994202335376e-05+2.4643703090003567e-05j)   (0.00016390266223324646+0.00012391591915960582j)
285.0   (0.0001669619227321811+9.630513241984621e-05j)   (-2.66342193643944e-05-1.9963858119111727e-05j)   (2.188417963914457e-05+2.264727449857006e-05j)   (0.00016816451872781203+0.00011969143756979221j)
294.0   (0.00017049167578685529+9.293350109627805e-05j)   (-2.611067127241568e-05-1.807738855516501e-05j)   (2.1685192127692794e-05+2.0841248742388374e-05j)   (0.00017202420959257927+0.00011554477460368679j)
303.0   (0.00017370160592256975+8.959340277384208e-05j)   (-2.554436847978006e-05-1.6374575270173155e-05j)   (2.1429152609434436e-05+1.9205317905708482e-05j)   (0.00017556561517704437+0.00011144790968027687j)
313.0   (0.00017693126061286955+8.593512333426916e-05j)   (-2.490338668887954e-05-1.4695156192019883e-05j)   (2.1097164179587377e-05+1.7565475595754364e-05j)   (0.00017904592415692445+0.00010701343856099592j)
323.0   (0.00017984368999013952+8.234530302414145e-05j)   (-2.425251952963263e-05-1.3195284806614582e-05j)   (2.0731940460348353e-05+1.609118566808823e-05j)   (0.0001822054109341235+0.00010269076854319484j)
333.0   (0.00018247308915462831+7.883260438286687e-05j)   (-2.3602221854380616e-05-1.1854297244927301e-05j)   (2.034636955677685e-05+1.476269323484353e-05j)   (0.00018505723079788729+9.848397765956931e-05j)
344.0   (0.00018507427529591158+7.506390924509043e-05j)   (-2.2898092512563704e-05-1.0541177918259531e-05j)   (1.9909960330597025e-05+1.344920260010817e-05j)   (0.0001878773802068543+9.399017043936156e-05j)
355.0   (0.00018740439561005278+7.13989330195451e-05j)   (-2.2214543847110464e-05-9.375662681066043e-06j)   (1.946997099746277e-05+1.2270939187410254e-05j)   (0.00019038826942526286+8.96486460381866e-05j)
366.0   (0.00018949360320911037+6.78384537864826e-05j)   (-2.1555489941570285e-05-8.336755808162935e-06j)   (1.9032490284313555e-05+1.1210992362823295e-05j)   (0.00019264368164056825+8.545570811456499e-05j)
